Time,Queue 0 Product 0,Queue 0 Product 1,Queue 1 Product 0,Queue 1 Product 1,Queue 2 Product 0,Queue 2 Product 1,Queue 3 Product 0,Queue 3 Product 1,Demand Queue Product 0,Demand Queue Product 1,Machine 1 Current Product,Machine 3 Current Product
102,99,35,0,0,0,0,0,0,103,35,None,None
103,100,35,0,0,0,0,0,0,104,35,None,None
104,101,35,0,0,0,0,0,0,105,35,None,None
105,102,36,0,0,0,0,0,0,106,36,None,None
106,103,36,0,0,0,0,0,0,107,36,None,None
107,104,36,0,0,0,0,0,0,108,36,None,None
108,105,37,0,0,0,0,0,0,109,37,None,None
109,106,37,0,0,0,0,0,0,110,37,None,None
110,107,37,0,0,0,0,0,0,111,37,None,None
111,108,38,0,0,0,0,0,0,112,38,None,None
112,109,38,0,0,0,0,0,0,113,38,None,None
113,110,38,0,0,0,0,0,0,114,38,None,None
114,111,39,0,0,0,0,0,0,115,39,None,None
115,112,39,0,0,0,0,0,0,116,39,None,None
116,113,39,0,0,0,0,0,0,117,39,None,None
117,114,40,0,0,0,0,0,0,118,40,None,None
118,115,40,0,0,0,0,0,0,119,40,None,None
119,116,40,0,0,0,0,0,0,120,40,None,None
120,117,41,0,0,0,0,0,0,121,41,None,None
121,118,41,0,0,0,0,0,0,122,41,None,None
122,119,41,0,0,0,0,0,0,123,41,None,None
123,120,42,0,0,0,0,0,0,124,42,None,None
124,121,42,0,0,0,0,0,0,125,42,None,None
125,122,42,0,0,0,0,0,0,126,42,None,None
126,123,43,0,0,0,0,0,0,127,43,None,None
127,124,43,0,0,0,0,0,0,128,43,None,None
128,125,43,0,0,0,0,0,0,129,43,None,None
129,126,44,0,0,0,0,0,0,130,44,None,None
130,127,44,0,0,0,0,0,0,131,44,None,None
131,128,44,0,0,0,0,0,0,132,44,None,None
132,129,45,0,0,0,0,0,0,133,45,None,None
133,130,45,0,0,0,0,0,0,134,45,None,None
134,131,45,0,0,0,0,0,0,135,45,None,None
135,132,46,0,0,0,0,0,0,136,46,None,None
136,133,46,0,0,0,0,0,0,137,46,None,None
137,134,46,0,0,0,0,0,0,138,46,None,None
138,135,47,0,0,0,0,0,0,139,47,None,None
139,136,47,0,0,0,0,0,0,140,47,None,None
140,137,47,0,0,0,0,0,0,141,47,None,None
141,138,48,0,0,0,0,0,0,142,48,None,None
142,139,48,0,0,0,0,0,0,143,48,None,None
143,140,48,0,0,0,0,0,0,144,48,None,None
144,141,49,0,0,0,0,0,0,145,49,None,None
145,142,49,0,0,0,0,0,0,146,49,None,None
146,143,49,0,0,0,0,0,0,147,49,None,None
147,144,50,0,0,0,0,0,0,148,50,None,None
148,145,50,0,0,0,0,0,0,149,50,None,None
149,146,50,0,0,0,0,0,0,150,50,None,None
150,146,50,0,0,0,0,0,0,150,50,None,None
151,146,50,0,0,0,0,0,0,150,50,None,None
152,146,50,0,0,0,0,0,0,150,50,None,None
153,146,50,0,0,0,0,0,0,150,50,None,None
154,146,50,0,0,0,0,0,0,150,50,None,None
155,146,50,0,0,0,0,0,0,150,50,None,None
156,146,50,0,0,0,0,0,0,150,50,None,None
157,146,50,0,0,0,0,0,0,150,50,None,None
158,146,50,0,0,0,0,0,0,150,50,None,None
159,146,50,0,0,0,0,0,0,150,50,None,None
160,146,50,0,0,0,0,0,0,150,50,None,None
161,146,50,0,0,0,0,0,0,150,50,None,None
162,146,50,0,0,0,0,0,0,150,50,None,None
163,146,50,0,0,0,0,0,0,150,50,None,None
164,146,50,0,0,0,0,0,0,150,50,None,None
165,146,50,0,0,0,0,0,0,150,50,None,None
166,146,50,0,0,0,0,0,0,150,50,None,None
167,146,50,0,0,0,0,0,0,150,50,None,None
168,146,50,0,0,0,0,0,0,150,50,None,None
169,146,50,0,0,0,0,0,0,150,50,None,None
170,146,50,0,0,0,0,0,0,150,50,None,None
171,146,50,0,0,0,0,0,0,150,50,None,None
172,146,50,0,0,0,0,0,0,150,50,None,None
173,146,50,0,0,0,0,0,0,150,50,None,None
174,146,50,0,0,0,0,0,0,150,50,None,None
175,146,50,0,0,0,0,0,0,150,50,None,None
176,146,50,0,0,0,0,0,0,150,50,None,None
177,146,50,0,0,0,0,0,0,150,50,None,None
178,146,50,0,0,0,0,0,0,150,50,None,None
179,146,50,0,0,0,0,0,0,150,50,None,None
180,146,50,0,0,0,0,0,0,150,50,None,None
181,146,50,0,0,0,0,0,0,150,50,None,None
182,146,50,0,0,0,0,0,0,150,50,None,None
183,146,50,0,0,0,0,0,0,150,50,None,None
184,146,50,0,0,0,0,0,0,150,50,None,None
185,146,50,0,0,0,0,0,0,150,50,None,None
186,146,50,0,0,0,0,0,0,150,50,None,None
187,146,50,0,0,0,0,0,0,150,50,None,None
188,146,50,0,0,0,0,0,0,150,50,None,None
189,146,50,0,0,0,0,0,0,150,50,None,None
190,146,50,0,0,0,0,0,0,150,50,None,None
191,146,50,0,0,0,0,0,0,150,50,None,None
192,146,50,0,0,0,0,0,0,150,50,None,None
193,146,50,0,0,0,0,0,0,150,50,None,None
194,146,50,0,0,0,0,0,0,150,50,None,None
195,146,50,0,0,0,0,0,0,150,50,None,None
196,146,50,0,0,0,0,0,0,150,50,None,None
197,146,50,0,0,0,0,0,0,150,50,None,None
198,146,50,0,0,0,0,0,0,150,50,None,None
199,146,50,0,0,0,0,0,0,150,50,None,None
200,146,50,0,0,0,0,0,0,150,50,None,None
201,146,50,0,0,0,0,0,0,150,50,None,None
202,146,50,0,0,0,0,0,0,150,50,None,None
203,146,50,0,0,0,0,0,0,150,50,None,None
204,146,50,0,0,0,0,0,0,150,50,None,None
205,146,50,0,0,0,0,0,0,150,50,None,None
206,146,50,0,0,0,0,0,0,150,50,None,None
207,146,50,0,0,0,0,0,0,150,50,None,None
208,146,50,0,0,0,0,0,0,150,50,None,None
209,146,50,0,0,0,0,0,0,150,50,None,None
210,146,50,0,0,0,0,0,0,150,50,None,None
211,146,50,0,0,0,0,0,0,150,50,None,None
212,146,50,0,0,0,0,0,0,150,50,None,None
213,146,50,0,0,0,0,0,0,150,50,None,None
214,146,50,0,0,0,0,0,0,150,50,None,None
215,146,50,0,0,0,0,0,0,150,50,None,None
216,146,50,0,0,0,0,0,0,150,50,None,None
217,146,50,0,0,0,0,0,0,150,50,None,None
218,146,50,0,0,0,0,0,0,150,50,None,None
219,146,50,0,0,0,0,0,0,150,50,None,None
220,146,50,0,0,0,0,0,0,150,50,None,None
221,146,50,0,0,0,0,0,0,150,50,None,None
222,146,50,0,0,0,0,0,0,150,50,None,None
223,146,50,0,0,0,0,0,0,150,50,None,None
224,146,50,0,0,0,0,0,0,150,50,None,None
225,146,50,0,0,0,0,0,0,150,50,None,None
226,146,50,0,0,0,0,0,0,150,50,None,None
227,146,50,0,0,0,0,0,0,150,50,None,None
228,146,50,0,0,0,0,0,0,150,50,None,None
229,146,50,0,0,0,0,0,0,150,50,None,None
230,146,50,0,0,0,0,0,0,150,50,None,None
231,146,50,0,0,0,0,0,0,150,50,None,None
232,146,50,0,0,0,0,0,0,150,50,None,None
233,146,50,0,0,0,0,0,0,150,50,None,None
234,146,50,0,0,0,0,0,0,150,50,None,None
235,146,50,0,0,0,0,0,0,150,50,None,None
236,146,50,0,0,0,0,0,0,150,50,None,None
237,146,50,0,0,0,0,0,0,150,50,None,None
238,146,50,0,0,0,0,0,0,150,50,None,None
239,146,50,0,0,0,0,0,0,150,50,None,None
240,146,50,0,0,0,0,0,0,150,50,None,None
241,146,50,0,0,0,0,0,0,150,50,None,None
242,146,50,0,0,0,0,0,0,150,50,None,None
243,142,50,3,0,0,0,0,0,150,50,0,None
244,142,50,3,0,0,0,0,0,150,50,0,None
245,142,50,3,0,0,0,0,0,150,50,0,None
246,142,50,3,0,0,0,0,0,150,50,0,None
247,142,50,3,0,0,0,0,0,150,50,0,None
248,142,50,3,0,0,0,0,0,150,50,0,None
249,142,50,3,0,0,0,0,0,150,50,0,None
250,142,50,3,0,0,0,0,0,150,50,0,None
251,142,50,3,0,0,0,0,0,150,50,0,None
252,142,50,3,0,0,0,0,0,150,50,0,None
253,142,50,3,0,0,0,0,0,150,50,0,None
254,142,50,3,0,0,0,0,0,150,50,0,None
255,142,50,3,0,0,0,0,0,150,50,0,None
256,142,50,3,0,0,0,0,0,150,50,0,None
257,142,50,3,0,0,0,0,0,150,50,0,None
258,142,50,3,0,0,0,0,0,150,50,0,None
259,142,50,3,0,0,0,0,0,150,50,0,None
260,142,50,3,0,0,0,0,0,150,50,0,None
261,142,50,3,0,0,0,0,0,150,50,0,None
262,142,50,3,0,0,0,0,0,150,50,0,None
263,142,50,3,0,0,0,0,0,150,50,0,None
264,142,50,3,0,0,0,0,0,150,50,0,None
265,142,50,3,0,0,0,0,0,150,50,0,None
266,142,50,3,0,0,0,0,0,150,50,0,None
267,142,50,3,0,0,0,0,0,150,50,0,None
268,142,50,3,0,0,0,0,0,150,50,0,None
269,142,50,3,0,0,0,0,0,150,50,0,None
270,142,50,3,0,0,0,0,0,150,50,0,None
271,142,50,3,0,0,0,0,0,150,50,0,None
272,142,50,3,0,0,0,0,0,150,50,0,None
273,142,50,3,0,0,0,0,0,150,50,0,None
274,142,50,3,0,0,0,0,0,150,50,0,None
275,142,50,3,0,0,0,0,0,150,50,0,None
276,142,50,3,0,0,0,0,0,150,50,0,None
277,142,50,3,0,0,0,0,0,150,50,0,None
278,142,50,3,0,0,0,0,0,150,50,0,None
279,142,50,3,0,0,0,0,0,150,50,0,None
280,142,50,3,0,0,0,0,0,150,50,0,None
281,142,50,3,0,0,0,0,0,150,50,0,None
282,142,50,3,0,0,0,0,0,150,50,0,None
283,142,50,3,0,0,0,0,0,150,50,0,None
284,142,50,3,0,0,0,0,0,150,50,0,None
285,142,50,3,0,0,0,0,0,150,50,0,None
286,142,50,3,0,0,0,0,0,150,50,0,None
287,142,50,3,0,0,0,0,0,150,50,0,None
288,142,50,2,0,1,0,0,0,150,50,0,None
289,142,50,2,0,1,0,0,0,150,50,0,None
290,142,50,2,0,1,0,0,0,150,50,0,None
291,142,50,2,0,1,0,0,0,150,50,0,None
292,142,50,2,0,1,0,0,0,150,50,0,None
293,142,50,2,0,1,0,0,0,150,50,0,None
294,142,50,2,0,1,0,0,0,150,50,0,None
295,142,50,2,0,1,0,0,0,150,50,0,None
296,142,50,2,0,1,0,0,0,150,50,0,None
297,142,50,2,0,1,0,0,0,150,50,0,None
298,142,50,2,0,1,0,0,0,150,50,0,None
299,142,50,2,0,1,0,0,0,150,50,0,None
300,142,50,2,0,1,0,0,0,150,50,0,None
301,142,50,2,0,1,0,0,0,150,50,0,None
302,142,50,2,0,1,0,0,0,150,50,0,None
303,142,50,2,0,1,0,0,0,150,50,0,None
304,142,50,2,0,1,0,0,0,150,50,0,None
305,142,50,2,0,1,0,0,0,150,50,0,None
306,142,50,2,0,1,0,0,0,150,50,0,None
307,142,50,2,0,1,0,0,0,150,50,0,None
308,142,50,2,0,1,0,0,0,150,50,0,None
309,142,50,2,0,1,0,0,0,150,50,0,None
310,142,50,2,0,1,0,0,0,150,50,0,None
311,142,50,2,0,1,0,0,0,150,50,0,None
312,142,50,2,0,1,0,0,0,150,50,0,None
313,142,50,2,0,1,0,0,0,150,50,0,None
314,142,50,2,0,1,0,0,0,150,50,0,None
315,142,50,2,0,1,0,0,0,150,50,0,None
316,142,50,2,0,1,0,0,0,150,50,0,None
317,142,50,2,0,1,0,0,0,150,50,0,None
318,142,50,1,0,2,0,0,0,150,50,0,None
319,142,50,1,0,2,0,0,0,150,50,0,None
320,142,50,1,0,2,0,0,0,150,50,0,None
321,142,50,1,0,2,0,0,0,150,50,0,None
322,142,50,1,0,2,0,0,0,150,50,0,None
323,142,50,1,0,2,0,0,0,150,50,0,None
324,142,50,1,0,2,0,0,0,150,50,0,None
325,142,50,1,0,2,0,0,0,150,50,0,None
326,142,50,1,0,2,0,0,0,150,50,0,None
327,142,50,1,0,2,0,0,0,150,50,0,None
328,142,50,1,0,2,0,0,0,150,50,0,None
329,142,50,1,0,2,0,0,0,150,50,0,None
330,142,50,1,0,2,0,0,0,150,50,0,None
331,142,50,1,0,2,0,0,0,150,50,0,None
332,142,50,1,0,2,0,0,0,150,50,0,None
333,142,50,1,0,2,0,0,0,150,50,0,None
334,142,50,1,0,2,0,0,0,150,50,0,None
335,142,50,1,0,2,0,0,0,150,50,0,None
336,142,50,1,0,2,0,0,0,150,50,0,None
337,142,50,1,0,2,0,0,0,150,50,0,None
338,142,50,1,0,2,0,0,0,150,50,0,None
339,142,50,1,0,2,0,0,0,150,50,0,None
340,142,50,1,0,2,0,0,0,150,50,0,None
